Acronym,Sleep Time,Wake Time,Smoking (#e),Screen Time (hrs),Conintuous Sleep?
CD,21:00,05:00,0,8,N
LJ,00:30,06:53,25,6,Y
DB,00:00,06:00,0,5,Y
DC,23:00,07:00,0,10,Y
HD,23:00,06:30,0,5,Y
NN,23:00,08:00,0,4.5,N
ML,22:00,07:00,0,10,N
CC,00:30,07:30,0,10,Y
MM,00:00,12:00,0,10,Y
HN,23:00,06:30,0,12,Y
YH,22:45,07:30,0,2.5,N
CR,00:00,06:00,0,6,N
KL,01:00,06:30,0,9,Y
KK,01:00,07:30,0,9,Y
JW,23:00,08:00,0,10,Y
EI,03:00,07:15,0,8,Y
EI,,,,,
,,,,,
AA,04:00,07:30,0,5,Y
,,,,,
GM,01:10,09:20,0,"3.5",Y
